Galaxy	RA	DEC
Milky Way	18.50	-30.00
LMC	5.40	-60.00
SMC	0.85	-73.00
Sgr I	18.93	-30.00
Fornax	2.62	-34.00
Sculptor dE	0.95	-33.00
Leo I	10.08	12.00
Leo II	11.17	22.00
Ursa Minor	15.13	67.00
Draco	17.32	58.00
Carina	6.67	-50.00
Sextans	10.17	-1.00
M31	0.67	41.00
M32=NGC 221	0.65	40.00
NGC 205	0.62	41.00
NGC 185	0.60	48.00
NGC 147	0.50	48.00
And I	0.72	37.00
And II	1.22	33.00
And III	0.53	36.00
Cas=And VII	23.43	50.00
Pegasus=DDO 216	23.47	14.00
Peg II=And VI	23.85	24.00
LGS 3	1.02	21.00
M33	1.52	30.00
NGC 6822	19.70	-15.00
IC 1613	1.03	1.00
Sgr dI	19.45	-17.00
WLM	23.98	-15.00
IC 10	0.28	59.00
DDO 210, Aqr	20.73	-13.00
Phoenix	1.82	-44.00
Tucana	22.68	-64.00
Leo A=DDO 69	9.98	30.00
Cetus	20.43	-11.00